Query_Identifier,Dataset_Scale_Gigabytes,Optimization_Strategy,Total_Alternatives_Evaluated,Selected_Plan_Index,Winning_Plan_Estimated_Cost,Metric_Unit,Plan_Option_0_Cost_Seconds,Plan_Option_1_Cost_Seconds,Plan_Option_0_Cost_Joules,Plan_Option_1_Cost_Joules
16,3.0,ECO,2,0,2.8514575958251953,Joules,,,2.8514575958251953,3.3962860107421875
17,3.0,PERFORMANCE,2,1,0.57844078540802,Seconds,0.8362428545951843,0.57844078540802,,
17,3.0,ECO,2,0,4.03761625289917,Joules,,,4.03761625289917,4.434666156768799
18,3.0,PERFORMANCE,2,1,3.557314157485962,Seconds,3.5900065898895264,3.557314157485962,,
18,3.0,ECO,2,0,5.48561954498291,Joules,,,5.48561954498291,5.7546844482421875
19,3.0,PERFORMANCE,2,1,0.7388622760772705,Seconds,0.9310298562049866,0.7388622760772705,,
19,3.0,ECO,2,0,2.4681220054626465,Joules,,,2.4681220054626465,3.1672918796539307
20,3.0,PERFORMANCE,2,1,2.496424436569214,Seconds,2.7847342491149902,2.496424436569214,,
20,3.0,ECO,2,0,5.696639060974121,Joules,,,5.696639060974121,5.96875524520874
21,3.0,PERFORMANCE,2,0,2.4439470767974854,Seconds,2.4439470767974854,2.6139936447143555,,
21,3.0,ECO,2,0,4.856585502624512,Joules,,,4.856585502624512,5.376503944396973
22,3.0,PERFORMANCE,2,1,0.8761545419692993,Seconds,0.9670155644416809,0.8761545419692993,,
22,3.0,ECO,2,0,2.394266366958618,Joules,,,2.394266366958618,3.1040899753570557
1,5.0,PERFORMANCE,2,0,4.011171817779541,Seconds,4.011171817779541,4.313162326812744,,
1,5.0,ECO,2,0,6.631903171539307,Joules,,,6.631903171539307,7.169949054718018
2,5.0,PERFORMANCE,2,0,3.377607583999634,Seconds,3.377607583999634,3.681469202041626,,
2,5.0,ECO,2,0,5.64230489730835,Joules,,,5.64230489730835,6.179421424865723
3,5.0,PERFORMANCE,2,0,2.746875762939453,Seconds,2.746875762939453,3.0536255836486816,,
3,5.0,ECO,2,0,4.957342147827148,Joules,,,4.957342147827148,5.493002891540527
4,5.0,PERFORMANCE,2,0,3.2909584045410156,Seconds,3.2909584045410156,3.553898572921753,,
4,5.0,ECO,2,0,4.614823818206787,Joules,,,4.614823818206787,5.149282932281494
5,5.0,PERFORMANCE,2,0,3.1523804664611816,Seconds,3.1523804664611816,3.463690757751465,,
5,5.0,ECO,2,0,4.970501899719238,Joules,,,4.970501899719238,5.506200313568115
6,5.0,PERFORMANCE,2,0,2.31602144241333,Seconds,2.31602144241333,2.6345632076263428,,
6,5.0,ECO,2,0,5.073566436767578,Joules,,,5.073566436767578,5.609549045562744
7,5.0,PERFORMANCE,2,0,4.500927925109863,Seconds,4.500927925109863,4.650333404541016,,
7,5.0,ECO,2,0,5.290719985961914,Joules,,,5.290719985961914,5.827213287353516
8,5.0,PERFORMANCE,2,0,1.9151772260665894,Seconds,1.9151772260665894,2.257188081741333,,
8,5.0,ECO,2,0,3.9621033668518066,Joules,,,3.9621033668518066,4.577624320983887
9,5.0,PERFORMANCE,2,0,3.872269868850708,Seconds,3.872269868850708,4.038968563079834,,
9,5.0,ECO,2,0,5.325605869293213,Joules,,,5.325605869293213,5.862170696258545
10,5.0,PERFORMANCE,2,0,2.2085578441619873,Seconds,2.2085578441619873,2.5205259323120117,,
10,5.0,ECO,2,0,4.575153827667236,Joules,,,4.575153827667236,5.109445095062256
11,5.0,PERFORMANCE,2,1,2.799673557281494,Seconds,2.8025567531585693,2.799673557281494,,
11,5.0,ECO,2,0,4.133971214294434,Joules,,,4.133971214294434,4.672149658203125
12,5.0,PERFORMANCE,2,0,2.999239444732666,Seconds,2.999239444732666,3.290156126022339,,
12,5.0,ECO,2,0,4.998616695404053,Joules,,,4.998616695404053,5.534395694732666
13,5.0,PERFORMANCE,2,0,1.3726738691329956,Seconds,1.3726738691329956,1.6548844575881958,,
13,5.0,ECO,2,0,4.133808612823486,Joules,,,4.133808612823486,4.6723313331604
14,5.0,PERFORMANCE,2,0,1.5900756120681763,Seconds,1.5900756120681763,1.7946685552597046,,
14,5.0,ECO,2,0,4.060194492340088,Joules,,,4.060194492340088,4.592457294464111
15,5.0,PERFORMANCE,2,0,1.3386646509170532,Seconds,1.3386646509170532,1.4666720628738403,,
15,5.0,ECO,2,0,4.378073692321777,Joules,,,4.378073692321777,4.91142463684082
16,5.0,PERFORMANCE,2,0,1.4527380466461182,Seconds,1.4527380466461182,1.7302063703536987,,
16,5.0,ECO,2,0,3.6908884048461914,Joules,,,3.6908884048461914,4.2322773933410645
17,5.0,PERFORMANCE,2,0,1.6109603643417358,Seconds,1.6109603643417358,1.6270294189453125,,
17,5.0,ECO,2,0,4.972769737243652,Joules,,,4.972769737243652,5.508475303649902
18,5.0,PERFORMANCE,2,0,4.067408561706543,Seconds,4.067408561706543,4.378442764282227,,
18,5.0,ECO,2,0,6.646161079406738,Joules,,,6.646161079406738,7.184215545654297
19,5.0,PERFORMANCE,2,0,1.679325819015503,Seconds,1.679325819015503,1.6810969114303589,,
19,5.0,ECO,2,0,3.0964643955230713,Joules,,,3.0964643955230713,3.689474105834961
20,5.0,PERFORMANCE,2,0,3.5214083194732666,Seconds,3.5214083194732666,3.7624406814575195,,
20,5.0,ECO,2,0,7.030223369598389,Joules,,,7.030223369598389,7.568450450897217
21,5.0,PERFORMANCE,2,0,2.7607595920562744,Seconds,2.7607595920562744,3.13558292388916,,
21,5.0,ECO,2,0,5.797825813293457,Joules,,,5.797825813293457,6.335156440734863
22,5.0,PERFORMANCE,2,0,1.227146029472351,Seconds,1.227146029472351,1.439141035079956,,
22,5.0,ECO,2,0,2.8384745121002197,Joules,,,2.8384745121002197,3.539592981338501
